Kod;Proces;Warstwa;Charakter;Grupa procesowa;[znane] Wlasciciel (tor);[znane] Komorka org. (basen);[znane] Aktywa AI;[znane] Systemy;[znane] RODO dane osobowe;[znane] RODO dane medyczne;[znane] Ref. model L3;Zdarzenie_startowe;Typ_startu (message/timer/signal/none);Kroki (1|2|3...);Role_per_krok (1|2|3...);Bramki_decyzje (po kroku N: pytanie -> tak:.. / nie:..);Wyjatki;Zdarzenia_koncowe (1|2..);Aktywa_per_krok (krok:AI-xx);Komunikaty_miedzyprocesowe;Znaczenie 1-5;Kondycja 1-5;Wykonalnosc 1-5;Uwagi
Z1.11;Kontrola zarządcza (cele, ryzyka, mechanizmy kontrolne, oświadczenie roczne - ustawa o finansach publicznych);Zarządczy;Niemedyczny;Z1. Nadzór korporacyjny i strategia;Zarząd / Dyrektorzy pionów;Z, DFK;;;Nie;Nie;;;;;;;;;;;;;;
Z2.01;Utrzymanie Zintegrowanego Systemu Zarządzania (ISO 9001/14001);Zarządczy;Niemedyczny;Z2. Systemy zgodności (ZSZ, SZBI, Akredytacja);PZSZ;PZSZ;;;Nie;Nie;;;;;;;;;;;;;;
Z2.02;Planowanie i prowadzenie audytów wewnętrznych ZSZ;Zarządczy;Niemedyczny;Z2. Systemy zgodności (ZSZ, SZBI, Akredytacja);PZSZ;PZSZ;;;Nie;Nie;;;;;;;;;;;;;;
Z2.03;Przeglądy zarządzania ZSZ;Zarządczy;Niemedyczny;Z2. Systemy zgodności (ZSZ, SZBI, Akredytacja);PZSZ / Zarząd;PZSZ, Z;;;Nie;Nie;;;;;;;;;;;;;;
Z2.04;Przygotowanie i utrzymanie akredytacji CMJ;Zarządczy;Medyczny;Z2. Systemy zgodności (ZSZ, SZBI, Akredytacja);PA;PA;;;Tak;Tak;;;;;;;;;;;;;;
Z2.05;Wdrażanie standardów akredytacyjnych w komórkach klinicznych;Zarządczy;Medyczny;Z2. Systemy zgodności (ZSZ, SZBI, Akredytacja);PA / DM;PA, DM;;;Tak;Tak;;;;;;;;;;;;;;
Z2.06;Zarządzanie SZBI (ISO 27001);Zarządczy;Niemedyczny;Z2. Systemy zgodności (ZSZ, SZBI, Akredytacja);PBI;PBI;;;Tak;Nie;;;;;;;;;;;;;;
Z2.07;Audyty wewnętrzne SZBI;Zarządczy;Niemedyczny;Z2. Systemy zgodności (ZSZ, SZBI, Akredytacja);PBI;PBI;;;Tak;Nie;;;;;;;;;;;;;;
Z2.08;Autoryzacja NFZ (wewnętrzny system zarządzania jakością - ustawa o jakości w opiece zdrowotnej);Zarządczy;Medyczny;Z2. Systemy zgodności;Pełnomocnik ds. Jakości / DM;PZSZ, DM;;;Tak;Tak;;;;;;;;;;;;;;
Z3.01;Identyfikacja i ocena ryzyk operacyjnych i strategicznych;Zarządczy;Niemedyczny;Z3. Zarządzanie ryzykiem i ciągłością działania;Zarząd / PZSZ;Z, PZSZ;;;Nie;Nie;;;;;;;;;;;;;;
Z3.02;Analiza ryzyk bezpieczeństwa informacji (SZBI);Zarządczy;Niemedyczny;Z3. Zarządzanie ryzykiem i ciągłością działania;PBI;PBI;;;Tak;Nie;;;;;;;;;;;;;;
Z3.03;Plan Ciągłości Działania (BCP) i Plan Odtwarzania (DRP);Zarządczy;Niemedyczny;Z3. Zarządzanie ryzykiem i ciągłością działania;PBI / DI.DI / OBR;PBI, DI.DI, OBR;;;Nie;Nie;;;;;;;;;;;;;;
Z3.04;Zarządzanie incydentami i kryzysami (operacyjnie);Zarządczy;Niemedyczny;Z3. Zarządzanie ryzykiem i ciągłością działania;Zarząd / OBR;Z, OBR;;;Tak;Nie;15_INCYDENT;;;;;;;;;;;;;
Z3.05;Bezpieczeństwo pacjenta - rejestr zdarzeń niepożądanych i system no-fault (ustawa o jakości w opiece zdrowotnej);Zarządczy;Medyczny;Z3. Zarządzanie ryzykiem i ciągłością działania;Pełnomocnik ds. Jakości / Zespół ds. bezpieczeństwa pacjenta;PZSZ, PA, DM;;;Tak;Tak;;;;;;;;;;;;;;
Z4.01;Nadzór nad przetwarzaniem danych osobowych (RODO);Zarządczy;Niemedyczny;Z4. Zgodność regulacyjna;IOD;IOD;;;Tak;Tak;;;;;;;;;;;;;;
Z4.02;Realizacja praw osób, których dane dotyczą;Zarządczy;Niemedyczny;Z4. Zgodność regulacyjna;IOD / DM.SDM;IOD, DM.SDM;;;Tak;Tak;;;;;;;;;;;;;;
Z4.03;Ocena skutków dla ochrony danych (DPIA);Zarządczy;Niemedyczny;Z4. Zgodność regulacyjna;IOD;IOD;;;Tak;Tak;;;;;;;;;;;;;;
Z4.04;Obsługa naruszeń ochrony danych (notyfikacja UODO);Zarządczy;Niemedyczny;Z4. Zgodność regulacyjna;IOD;IOD;;;Tak;Tak;;;;;;;;;;;;;;
Z4.05;Zarządzanie zgodnością KSC (operator usługi kluczowej);Zarządczy;Niemedyczny;Z4. Zgodność regulacyjna;PBI / DI.DI;PBI, DI.DI;;;Tak;Nie;;;;;;;;;;;;;;
Z4.06;Ochrona informacji niejawnych;Zarządczy;Niemedyczny;Z4. Zgodność regulacyjna;PIN;PIN;;;Tak;Nie;;;;;;;;;;;;;;
Z4.07;Zarządzanie prawami pacjenta i obsługa skarg;Zarządczy;Medyczny;Z4. Zgodność regulacyjna;PPP;PPP;;;Tak;Tak;;;;;;;;;;;;;;
Z4.08;Zapewnianie dostępności osobom ze szczególnymi potrzebami;Zarządczy;Niemedyczny;Z4. Zgodność regulacyjna;PD;PD;;;Tak;Nie;;;;;;;;;;;;;;
Z4.09;Doradztwo prawne i reprezentacja w postępowaniach;Zarządczy;Niemedyczny;Z4. Zgodność regulacyjna;RP;RP;;;Tak;Nie;;;;;;;;;;;;;;
Z4.10;Obsługa zdarzeń medycznych i Funduszu Kompensacyjnego (FKZM) - współpraca z RPP, rejestr zaleceń i wdrożeń;Zarządczy;Medyczny;Z4. Zgodność regulacyjna;Pełnomocnik ds. Praw Pacjenta / Radca prawny / DM;RP, DM;;;Tak;Tak;;;;;;;;;;;;;;
Z5.01;Opracowywanie i nadzór nad regulaminem organizacyjnym;Zarządczy;Niemedyczny;Z5. Polityki, regulaminy i zarządzanie zmianą;Zarząd / K.DOP;Z, K.DOP;;;Nie;Nie;;;;;;;;;;;;;;
Z5.02;Opracowywanie i nadzór nad zarządzeniami i procedurami wewnętrznymi;Zarządczy;Niemedyczny;Z5. Polityki, regulaminy i zarządzanie zmianą;K.DOP / PZSZ;K.DOP, PZSZ;;;Nie;Nie;;;;;;;;;;;;;;
Z5.03;Zarządzanie zmianą organizacyjną (struktura, etaty, lokalizacje);Zarządczy;Niemedyczny;Z5. Polityki, regulaminy i zarządzanie zmianą;Zarząd;Z;;;Nie;Nie;;;;;;;;;;;;;;
Z5.04;Zarządzanie wiedzą organizacyjną i wnioski z doświadczeń (baza wiedzy, przekazywanie kompetencji, nauka z incydentów);Zarządczy;Niemedyczny;Z5. Polityki, regulaminy i zarządzanie zmianą organizacyjną;Pełnomocnik ds. Jakości / DI (Dział Informatyki);PZSZ, DI;;;Nie;Nie;;;;;;;;;;;;;;
Z6.01;Negocjacje i zawieranie umów z NFZ;Zarządczy;Niemedyczny;Z6. Kontrakt NFZ i relacje zewnętrzne;Zarząd / DM.DRZ;Z, DM.DRZ;;;Nie;Nie;;;;;;;;;;;;;;
Z6.02;Współpraca z organami nadzoru (NFZ, MZ, Wojewoda, PIP, UODO, PSSE);Zarządczy;Niemedyczny;Z6. Kontrakt NFZ i relacje zewnętrzne;Zarząd;Z;;;Tak;Nie;;;;;;;;;;;;;;
Z6.03;Komunikacja korporacyjna i relacje z mediami;Zarządczy;Niemedyczny;Z6. Kontrakt NFZ i relacje zewnętrzne;Zarząd;Z;;;Nie;Nie;;;;;;;;;;;;;;
G1.01;Przyjęcie pacjenta w trybie nagłym;Główny;Medyczny;G1. Wejście pacjenta - Izba Przyjęć;Lekarz / Pielęgniarka IP;JO.SZ_KUP.IP (4900);AI-21, AI-08, AI-06, AI-22, AI-01;AW-S01 (Ruch Chorych, Izba Przyjęć) + eWUŚ;Tak;Tak;;;;;;;;;;;;;;
G1.02;Triaż medyczny;Główny;Medyczny;G1. Wejście pacjenta - Izba Przyjęć;Pielęgniarka triażu;JO.SZ_KUP.IP (4900);AI-01, AI-04, AI-21;AW-S01 (Izba Przyjęć);Tak;Tak;;;;;;;;;;;;;;
G1.03;Kwalifikacja do hospitalizacji;Główny;Medyczny;G1. Wejście pacjenta - Izba Przyjęć;Lekarz IP;JO.SZ_KUP.IP (4900);AI-01, AI-15;AW-S01 (Ruch Chorych);Tak;Tak;;;;;;;;;;;;;;
G1.04;Przekazanie pacjenta do innego podmiotu;Główny;Medyczny;G1. Wejście pacjenta - Izba Przyjęć;Lekarz IP;JO.SZ_KUP.IP (4900);AI-05, AI-06;AW-S01 + AW-S05 (P1);Tak;Tak;;;;;;;;;;;;;;
G1.05;Rejestracja przyjęć planowych do rehabilitacji;Główny;Medyczny;G1. Wejście pacjenta - Punkt Przyjęć Planowych;Koordynator PPP;JO.SZ_POK.PPP;AI-06, AI-18, AI-21;AW-S01 (Rejestracja, Kolejki);Tak;Tak;12_PLANOWE_PRZYJECIE;;;;;;;;;;;;;
G1.06;Kwalifikacja do programu rehabilitacji;Główny;Medyczny;G1. Wejście pacjenta - Punkt Przyjęć Planowych;Lekarz rehabilitacji;JO.SZ_POK.PPP / 4300;AI-01, AI-16;AW-S01 (Rehabilitacja);Tak;Tak;12_PLANOWE_PRZYJECIE;;;;;;;;;;;;;
G1.07;Prowadzenie listy oczekujących (AOTMiT/NFZ);Główny;Medyczny;G1. Wejście pacjenta - Punkt Przyjęć Planowych;Koordynator PPP / DM.DRZ;JO.SZ_POK.PPP / DM.DRZ;AI-18;AW-S01 (Kolejki);Tak;Tak;;;;;;;;;;;;;;
G1.08;Rejestracja pacjenta (osobista/telefoniczna/e-rejestracja);Główny;Medyczny;G1. Wejście pacjenta - Ambulatorium / POZ;Rejestratorka;Poradnie KUP/POK/CHR;AI-11, AI-21, AI-22, AI-06, AI-55, AI-56;AW-S01 (Przychodnia) + eWUŚ, AW-S10, AW-S13;Tak;Tak;;;;;;;;;;;;;;
G1.09;Przyjęcie pacjenta POZ (deklaracja, weryfikacja w eWUŚ);Główny;Medyczny;G1. Wejście pacjenta - Ambulatorium / POZ;Lekarz / Pielęgniarka POZ;JO.POR_CHR (0010);AI-11, AI-21;AW-S01 (Przychodnia);Tak;Tak;;;;;;;;;;;;;;
G2.01;Wykonanie badania obrazowego (warianty: RTG, TK, USG/UKG);Główny;Medyczny;G2. Diagnostyka obrazowa;Technik / Lekarz radiolog;JO.POR_KUP.7240;AI-06, AI-13, AI-10, AI-54;AW-S03 (RIS/PACS) + AW-S01 (Zlecenia), AW-S11;Tak;Tak;;;;;;;;;;;;;;
G2.02;Wykonanie badania czynnościowego (warianty: układ krążenia [EKG, próby wysiłkowe, Holter], układ oddechowy [spirometria, bodypletyzmografia], polisomnografia, pH-metria);Główny;Medyczny;G2. Diagnostyka funkcjonalna;Pielęgniarka / Lekarz;JO.POR_KUP.7998_KRAZ;AI-14, AI-10;AW-S01 (Zlecenia/Pracownia);Tak;Tak;;;;;;;;;;;;;;
G2.03;"Wykonanie badania endoskopowego (warianty: górny odcinek GI [gastroskopia], dolny odcinek GI [kolonoskopia], bronchoskopia; sedacja/nadzór anestezjologiczny jako etap)";Główny;Medyczny;G2. Diagnostyka endoskopowa;Lekarz endoskopista / Pielęgniarka;JO.POR_KUP.7910_G;AI-14, AI-15, AI-10;AW-S01 (Zlecenia/Pracownia);Tak;Tak;;;;;;;;;;;;;;
G2.04;Zlecanie i odbiór wyników badań laboratoryjnych;Główny;Medyczny;G2. Diagnostyka laboratoryjna;Lekarz prowadzący / Pielęgniarka;Oddziały, Poradnie / JO.POR_KUP.7100;AI-06, AI-12;AW-S04 (LIS zewn.) + AW-S01 (Zlecenia);Tak;Tak;;;;;;;;;;;;;;
G2.05;Zarządzanie umową z laboratorium zewnętrznym;Główny;Medyczny;G2. Diagnostyka laboratoryjna;DZP / DM;DZP, DM;AI-38 / AW-O01;AW-S02 (ERP);Tak;Nie;;;;;;;;;;;;;;
G2.06;Kontrola jakości i kalibracja sprzętu diagnostycznego;Główny;Medyczny;G2. Diagnostyka - jakość i bezpieczeństwo;Inspektor Ochrony Radiologicznej / DI.DT;Pracownie, DI.DT;AI-45, AI-44;- (ewidencja sprzętu);Nie;Nie;;;;;;;;;;;;;;
G3.01;Proces diagnostyczno-terapeutyczny pacjenta hospitalizowanego;Główny;Medyczny;G3. Leczenie szpitalne - Oddział Chorób Wewnętrznych;Lekarz prowadzący;JO.SZ_KUP.4000;AI-01, AI-02, AI-07, AI-12, AI-13, AI-15;AW-S01 (Ruch Chorych, Zlecenia, Apteczka, ZDM) + P1;Tak;Tak;;;;;;;;;;;;;;
G3.02;Kompleksowa Ocena Geriatryczna (CGA);Główny;Medyczny;G3. Leczenie szpitalne - Oddział Kliniczny Geriatrii;Lekarz geriatra / Zespół;JO.SZ_KUP.4060;AI-01, AI-02, AI-12;AW-S01 (Ruch Chorych, Zlecenia, ZDM);Tak;Tak;;;;;;;;;;;;;;
G3.03;Proces diagnostyczno-terapeutyczny w geriatrii;Główny;Medyczny;G3. Leczenie szpitalne - Oddział Kliniczny Geriatrii;Zespół geriatryczny;JO.SZ_KUP.4060;AI-01, AI-02, AI-07, AI-12;AW-S01 (Ruch Chorych, Zlecenia, Apteczka) + P1;Tak;Tak;;;;;;;;;;;;;;
G3.04;Proces diagnostyczno-terapeutyczny w pulmonologii;Główny;Medyczny;G3. Leczenie szpitalne - Oddział Chorób Płuc;Lekarz pulmonolog;JO.SZ_KUP.4272;AI-01, AI-02, AI-07, AI-14;AW-S01 (Ruch Chorych, Zlecenia, Apteczka) + P1;Tak;Tak;;;;;;;;;;;;;;
G3.05;Proces diagnostyczno-terapeutyczny w pulmonologii dziecięcej;Główny;Medyczny;G3. Leczenie szpitalne - Oddział Chorób Płuc dla Dzieci;Lekarz pediatra/pulmonolog;JO.SZ_KUP.4273;AI-01, AI-02, AI-07, AI-14;AW-S01 (Ruch Chorych, Zlecenia, Apteczka) + P1;Tak;Tak;;;;;;;;;;;;;;
G3.06;Proces diagnostyczno-terapeutyczny w reumatologii;Główny;Medyczny;G3. Leczenie szpitalne - Oddział Kliniczny Reumatologii;Lekarz reumatolog;JO.SZ_KUP.4280;AI-01, AI-02, AI-07, AI-12;AW-S01 (Ruch Chorych, Zlecenia, Apteczka) + P1;Tak;Tak;;;;;;;;;;;;;;
G3.07;Plan rehabilitacji indywidualnej (PRI) - oddział;Główny;Medyczny;G3. Leczenie szpitalne - Oddział Rehabilitacyjny (KUP);Lekarz rehabilitacji / Fizjoterapeuta;JO.SZ_KUP.4300;AI-16, AI-01;AW-S01 (Rehabilitacja, ZDM);Tak;Tak;;;;;;;;;;;;;;
G3.08;Plan rehabilitacji indywidualnej (PRI) - oddział kliniczny;Główny;Medyczny;G3. Leczenie szpitalne - Oddział Kliniczny Rehabilitacji (POK);Lekarz rehabilitacji / Fizjoterapeuta;JO.SZ_POK.4300;AI-16, AI-01;AW-S01 (Rehabilitacja, ZDM);Tak;Tak;;;;;;;;;;;;;;
G3.09;Konsultacja specjalistyczna (między-oddziałowa, zewnętrzna);Główny;Medyczny;G3. Leczenie szpitalne - wspólne;Lekarz konsultujący;Oddziały;AI-01;AW-S01 (Ruch Chorych);Tak;Tak;;;;;;;;;;;;;;
G3.10;Przekazanie pacjenta między oddziałami / do innego podmiotu;Główny;Medyczny;G3. Leczenie szpitalne - wspólne;Lekarz prowadzący;Oddziały;AI-01, AI-05, AI-09;AW-S01 (Ruch Chorych);Tak;Tak;;;;;;;;;;;;;;
G3.11;Postępowanie ze zgonem pacjenta;Główny;Medyczny;G3. Leczenie szpitalne - wspólne;Lekarz / Pielęgniarka;Oddziały, IP;AI-20, AI-01;AW-S01 (Ruch Chorych);Tak;Tak;;;;;;;;;;;;;;
G3.12;Zarządzanie zgodami pacjenta (świadoma zgoda, RODO, pełnomocnictwa, sprzeciwy);Główny;Medyczny;G3. Leczenie szpitalne - wspólne;Lekarz prowadzący / SDM;Oddziały, Poradnie;AI-15;AW-S01 (ZDM);Tak;Tak;;;;;;;;;;;;;;
G3.13;Wizyta lekarska w poradni specjalistycznej;Główny;Medyczny;G3. Leczenie ambulatoryjne;Lekarz specjalista;JO.POR_KUP.PSP (1100/1272/1273/1280/1300);AI-11, AI-01, AI-06, AI-07;AW-S01 (Przychodnia/Gabinet) + P1;Tak;Tak;;;;;;;;;;;;;;
G3.14;Świadczenia w gabinecie diagnostyczno-zabiegowym;Główny;Medyczny;G3. Leczenie ambulatoryjne;Lekarz / Pielęgniarka zabiegowa;9450 (KUP/POK/CHR);AI-11, AI-01;AW-S01 (Przychodnia/Gabinet);Tak;Tak;;;;;;;;;;;;;;
G3.15;Wystawianie e-recept, e-skierowań, e-ZLA, zaświadczeń;Główny;Medyczny;G3. Leczenie ambulatoryjne;Lekarz;Poradnie, Oddziały;AI-07, AI-06;AW-S05 (P1);Tak;Tak;;;;;;;;;;;;;;
G3.16;Wizyta lekarska POZ (ogólna/dziecięca);Główny;Medyczny;G3. Leczenie ambulatoryjne - POZ;Lekarz POZ;JO.POR_CHR.0010 (O/D);AI-11, AI-07;AW-S01 (Przychodnia/Gabinet) + P1;Tak;Tak;;;;;;;;;;;;;;
G3.17;Świadczenia pielęgniarki POZ;Główny;Medyczny;G3. Leczenie ambulatoryjne - POZ;Pielęgniarka POZ;JO.POR_CHR.0032;AI-03, AI-11;AW-S01 (Przychodnia);Tak;Tak;;;;;;;;;;;;;;
G3.18;Medycyna szkolna - profilaktyka i opieka;Główny;Medyczny;G3. Leczenie ambulatoryjne - POZ;Pielęgniarka medycyny szkolnej;JO.POR_CHR.0040;AI-11;AW-S01 (Przychodnia);Tak;Tak;;;;;;;;;;;;;;
G3.19;Bilanse zdrowia i szczepienia ochronne;Główny;Medyczny;G3. Leczenie ambulatoryjne - POZ;Lekarz POZ / Pielęgniarka;JO.POR_CHR.0010;AI-11, AI-07;AW-S01 (Przychodnia) + P1;Tak;Tak;;;;;;;;;;;;;;
G3.20;Kwalifikacja i prowadzenie rehabilitacji w ośrodku dziennym;Główny;Medyczny;G3. Rehabilitacja dzienna;Lekarz / Fizjoterapeuta;JO.POR_KUP.ORD, JO.POR_POK;AI-16, AI-11;AW-S01 (Rehabilitacja);Tak;Tak;;;;;;;;;;;;;;
G3.21;Dzienna opieka geriatryczna;Główny;Medyczny;G3. Rehabilitacja dzienna;Zespół geriatryczny;JO.POR_KUP.2200;AI-16, AI-11;AW-S01 (Rehabilitacja);Tak;Tak;;;;;;;;;;;;;;
G3.22;Realizacja zabiegu rehabilitacji ambulatoryjnej/domowej (warianty: fizykoterapia, kinezyterapia, hydroterapia, krioterapia, masaż leczniczy, balneoterapia, rehabilitacja domowa);Główny;Medyczny;G3. Rehabilitacja ambulatoryjna i domowa;Fizjoterapeuta;ZRL.1312 (KUP/POK);AI-16;AW-S01 (Rehabilitacja);Tak;Tak;;;;;;;;;;;;;;
G3.23;Kompleksowa diagnoza funkcjonalna i plan usprawniania;Główny;Medyczny;G3. Centrum Diagnozy i Usprawniania Pacjenta;Zespół interdyscyplinarny;JO.POR_KUP.9000;AI-16, AI-01;AW-S01 (Rehabilitacja);Tak;Tak;;;;;;;;;;;;;;
G4.01;Wypis pacjenta z oddziału (epikryza, karta wypisu);Główny;Medyczny;G4. Wypis / kontynuacja opieki;Lekarz prowadzący;Oddziały;AI-05, AI-01, AI-07;AW-S01 (Ruch Chorych, ZDM) + P1;Tak;Tak;;;;;;;;;;;;;;
G4.02;Edukacja pacjenta i opiekunów przy wypisie;Główny;Medyczny;G4. Wypis / kontynuacja opieki;Lekarz / Pielęgniarka / Dietetyk;Oddziały;AI-05;AW-S01 (ZDM);Tak;Tak;;;;;;;;;;;;;;
G4.03;Przekazanie pacjenta do opieki POZ / AOS / opieki długoterminowej;Główny;Medyczny;G4. Wypis / kontynuacja opieki;Lekarz prowadzący;Oddziały, Poradnie;AI-05, AI-06;AW-S01 (ZDM) + P1;Tak;Tak;;;;;;;;;;;;;;
G4.04;Wystawianie wniosków o turnusy/zaopatrzenie w wyroby medyczne;Główny;Medyczny;G4. Wypis / kontynuacja opieki;Lekarz;Poradnie, Oddziały;AI-05, AI-06;AW-S01 (ZDM);Tak;Tak;;;;;;;;;;;;;;
G5.01;Zaopatrzenie w produkty lecznicze i wyroby medyczne;Główny;Medyczny;G5. Apteka szpitalna i farmakoterapia;Kierownik Apteki;JO.SZ_KUP.APT (4922);;;Tak;Tak;;;;;;;;;;;;;;
G5.02;Prowadzenie receptariusza szpitalnego;Główny;Medyczny;G5. Apteka szpitalna i farmakoterapia;Komitet Terapeutyczny / Apteka;JO.SZ_KUP.APT (4922);;;Tak;Tak;;;;;;;;;;;;;;
G5.03;Wydawanie leków na oddziały (zamówienia oddziałowe);Główny;Medyczny;G5. Apteka szpitalna i farmakoterapia;Apteka;JO.SZ_KUP.APT (4922);;;Tak;Tak;;;;;;;;;;;;;;
G5.04;Sporządzanie leków recepturowych;Główny;Medyczny;G5. Apteka szpitalna i farmakoterapia;Farmaceuta;JO.SZ_KUP.APT (4922);;;Tak;Tak;;;;;;;;;;;;;;
G5.05;Obsługa środków odurzających i psychotropowych;Główny;Medyczny;G5. Apteka szpitalna i farmakoterapia;Apteka;JO.SZ_KUP.APT (4922);;;Tak;Tak;;;;;;;;;;;;;;
G5.06;Nadzór nad farmakoterapią (opieka farmaceutyczna);Główny;Medyczny;G5. Apteka szpitalna i farmakoterapia;Farmaceuta kliniczny;Oddziały;;;Tak;Tak;;;;;;;;;;;;;;
G5.07;Pharmacovigilance - zgłaszanie NDL;Główny;Medyczny;G5. Apteka szpitalna i farmakoterapia;Apteka / Lekarz;Apteka, Oddziały;;;Tak;Tak;;;;;;;;;;;;;;
G5.08;Dział Farmacji - zaopatrzenie szpitala rehab. w POK;Główny;Medyczny;G5. Apteka szpitalna i farmakoterapia;Kierownik Działu Farmacji;JO.SZ_POK.4924;;;Tak;Tak;;;;;;;;;;;;;;
G6.01;Proces pielęgnowania (rozpoznanie - planowanie - realizacja - ocena);Główny;Medyczny;G6. Pielęgniarstwo;Pielęgniarka;Oddziały, Poradnie;;;Tak;Tak;;;;;;;;;;;;;;
G6.02;Standardy opieki pielęgniarskiej i nadzór jakości;Główny;Medyczny;G6. Pielęgniarstwo;Przełożona Pielęgniarek;DM.PP;;;Tak;Tak;;;;;;;;;;;;;;
G6.03;Zarządzanie grafikami i normami obsady pielęgniarek;Główny;Medyczny;G6. Pielęgniarstwo;Przełożona Pielęgniarek / Oddziałowe;DM.PP, DM.PP.PO;;;Tak;Tak;;;;;;;;;;;;;;
G6.04;Doskonalenie zawodowe i specjalizacje pielęgniarskie;Główny;Medyczny;G6. Pielęgniarstwo;Przełożona Pielęgniarek;DM.PP;;;Tak;Tak;;;;;;;;;;;;;;
G6.05;Planowanie żywienia pacjentów i diety specjalistyczne;Główny;Medyczny;G6. Pielęgniarstwo - dietetyka;Dietetyk;DM.PP.D;;;Tak;Tak;;;;;;;;;;;;;;
G7.01;Nadzór nad zakażeniami szpitalnymi;Główny;Medyczny;G7. Higiena, epidemiologia, zakażenia;Pielęgniarka epidemiologiczna / Zespół Kontroli Zakażeń;DM.DHiE / JO.SZ_KUP.DHiE (9200);;;Tak;Tak;;;;;;;;;;;;;;
G7.02;Rejestr drobnoustrojów alarmowych - monitorowanie;Główny;Medyczny;G7. Higiena, epidemiologia, zakażenia;Pielęgniarka epidemiologiczna;JO.SZ_KUP.DHiE (9200);;;Tak;Tak;;;;;;;;;;;;;;
G7.03;Polityka antybiotykowa (stewardship);Główny;Medyczny;G7. Higiena, epidemiologia, zakażenia;Komitet Antybiotykowy / Lekarz;DM.DHiE;;;Tak;Tak;;;;;;;;;;;;;;
G7.04;Dezynfekcja, sterylizacja, dekontaminacja;Główny;Medyczny;G7. Higiena, epidemiologia, zakażenia;Pielęgniarki / DT;DM.DHiE, DI.DT;;;Tak;Tak;;;;;;;;;;;;;;
G7.05;Postępowanie z odpadami medycznymi;Główny;Medyczny;G7. Higiena, epidemiologia, zakażenia;DI.DT / DM.DHiE;DI.DT, DM.DHiE;;;Tak;Tak;;;;;;;;;;;;;;
G7.06;Monitorowanie i promocja higieny rąk;Główny;Medyczny;G7. Higiena, epidemiologia, zakażenia;Pielęgniarka epidemiologiczna;DM.DHiE;;;Tak;Tak;;;;;;;;;;;;;;
G7.07;Postępowanie antyepidemiczne (ekspozycje zawodowe, epidemie);Główny;Medyczny;G7. Higiena, epidemiologia, zakażenia;Pielęgniarka epid. / DM.DHiE;DM.DHiE;;;Tak;Tak;;;;;;;;;;;;;;
G7.08;Szkolenia personelu w zakresie zakażeń;Główny;Medyczny;G7. Higiena, epidemiologia, zakażenia;DM.DHiE;DM.DHiE;;;Tak;Tak;;;;;;;;;;;;;;
