Typ;Kod;Nazwa;Kategoria/Typ;RODO;P;I;D;Wlasciciel;Systemy
AI;AI-59;Dane zarządcze i zasobowe (portal zarządczy);Zarządcze;Zwykłe;Ś;Ś;Ś;Zarząd / K;Portal zasobowo-zarządczy
AI;AI-60;Modele, konfiguracje i logi systemów AI (lokalne);IT / techniczne;Poufne (wewn.);W;W;Ś;DI.DI;Platforma AI / klaster AI
AI;AI-61;Dane podpisu elektronicznego i certyfikatów kwalifikowanych;Dane uwierzytelniające / techniczne;Zwykłe;;;;DI.DI / ABS;AW-S21
AW;AW-S01;HIS - szpitalny system informatyczny (pakiet medyczny);Oprogramowanie;;;;;;Ruch Chorych, Izba Przyjęć, Zlecenia, Apteka/Apteczka, Przychodnia, Statystyka, Zakażenia, Rehabilitacja, ZDM/EDM
AW;AW-S02;ERP - system administracyjno-zarządczy;Oprogramowanie;;;;;;FK, Rejestr Sprzedaży/Zakupów, Koszty, Kadry-Płace, Magazyn, Środki Trwałe, Portal Pracowniczy
AW;AW-S03;RIS/PACS - system diagnostyki obrazowej;Oprogramowanie;;;;;;"Diagnostyka obrazowa - zlecenia, opisy, obrazy ; obejmuje przeglądarkę DICOM i dystrybucję obrazów"
AW;AW-S04;LIS - system laboratoryjny (usługa zewnętrzna);Oprogramowanie;;;;;;"System laboratoryjny po stronie usługi zewnętrznej; interfejs do HIS"
AW;AW-S05;Integracja z platformą P1 / komponent EDM;Oprogramowanie;;;;;;e-recepta, e-skierowanie, EDM, IKP, zdarzenia medyczne (HL7 CDA)
AW;AW-S06;Systemy biurowe, poczta, portal pracowniczy;Oprogramowanie;;;;;;Praca biurowa, komunikacja, samoobsługa pracownika
AW;AW-S07;Strona WWW i BIP;Oprogramowanie;;;;;;Komunikacja zewnętrzna, dostępność cyfrowa
AW;AW-H01;Serwery i macierze (serwerownia);Sprzęt;;;;;;Środowisko działania HIS/ERP, repozytorium EDM, kopie
AW;AW-H02;Stacje robocze / terminale;Sprzęt;;;;;;Dostęp personelu do systemów
AW;AW-H03;Urządzenia medyczne z interfejsem IT;Sprzęt;;;;;;RTG, TK, USG, aparatura diagnostyczna/terapeutyczna
AW;AW-H04;Urządzenia mobilne;Sprzęt;;;;;;Praca mobilna, rehabilitacja domowa
AW;AW-H05;Nośniki danych i kopie;Sprzęt;;;;;;Przenośne nośniki, taśmy/dyski kopii
AW;AW-N01;Sieć LAN/WAN i urządzenia sieciowe;Sieć;;;;;;Łączność wewnętrzna między lokalizacjami i systemami
AW;AW-N02;Łącza internetowe i dostęp zdalny (VPN);Sieć;;;;;;Dostęp do P1, NFZ, PUI (usługi centralne), serwis zdalny
AW;AW-N03;Telefonia i łączność;Sieć;;;;;;Komunikacja głosowa, rejestracja telefoniczna
AW;AW-P01;Personel medyczny;Personel;;;;;;Lekarze, pielęgniarki, fizjoterapeuci, farmaceuci, diagności
AW;AW-P02;Personel administracyjny i pomocniczy;Personel;;;;;;Rejestracja, rozliczenia, finanse, kadry, technika
AW;AW-P03;Personel IT i bezpieczeństwa;Personel;;;;;;DI (Informatyka), ABS, IOD, PBI
AW;AW-L01;Lokalizacja Kup (szpital, serwerownia, archiwum);Lokalizacja;;;;;;Główna lokalizacja kliniczna i IT
AW;AW-L02;Lokalizacja Pokój (szpital rehabilitacyjny);Lokalizacja;;;;;;Rehabilitacja stacjonarna i ambulatoryjna
AW;AW-L03;Lokalizacja Chróścice (poradnia rodzinna);Lokalizacja;;;;;;POZ i medycyna szkolna
AW;AW-O01;Dostawca - laboratorium zewnętrzne (7100);Struktura organizacji;;;;;;Usługa diagnostyki laboratoryjnej
AW;AW-O02;Dostawca IT - autoryzowany serwis HIS/ERP;Struktura organizacji;;;;;;Utrzymanie i rozwój HIS/ERP oraz modułów dziedzinowych
AW;AW-O03;Podmioty przetwarzające (IOD zewn., inni przetwarzający);Struktura organizacji;;;;;;Powierzenie przetwarzania danych
AW;AW-O04;Dostawcy usług (transport, catering, pralnia, sprzątanie);Struktura organizacji;;;;;;Usługi przekrojowe wspierające szpital
AW;AW-S08;Serwer integracyjny (szyna HL7);Oprogramowanie;;;;;;Wymiana danych między systemami dziedzinowymi i z P1 (HL7)
AW;AW-S09;Lokalne repozytorium danych medycznych / EDM;Oprogramowanie;;;;;;"Gromadzenie i udostępnianie EDM; baza pod wymianę i AI"
AW;AW-S10;Platforma AI dokumentacyjna (opisy, chatbot, voicebot);Oprogramowanie;;;;;;"Automatyzacja dokumentacji i obsługi pacjenta (modele językowe) ; w tym transkrypcja mowy i strukturyzacja opisów radiologicznych"
AW;AW-S11;Integracja z platformą AI diagnostyki obrazowej (PUI);Oprogramowanie;;;;;;Pseudonimizacja i wysyłka obrazów, odbiór wstępnego opisu AI
AW;AW-S12;System uwierzytelniania wieloskładnikowego (MFA/2FA);Oprogramowanie;;;;;;Silne uwierzytelnianie dostępu do systemów
AW;AW-S13;System powiadomień pacjenta (e-powiadomienia/potwierdzenia);Oprogramowanie;;;;;;Powiadomienia i potwierdzenia wizyt
AW;AW-S14;Moduł obsługi punktów pobrań;Oprogramowanie;;;;;;Obsługa pobrań materiału do badań w punktach pobrań
AW;AW-S15;Portal zasobowo-zarządczy;Oprogramowanie;;;;;;Pulpity, widgety i raporty zarządcze
AW;AW-S16;System monitorowania środowiska IT/HIS;Oprogramowanie;;;;;;"Monitoring infrastruktury, baz i aplikacji; alerty 24/7"
AW;AW-S17;UTM / NGFW (zapora nowej generacji, HA);Oprogramowanie/Sprzęt;;;;;;Ochrona styku sieci, segmentacja, dostęp zdalny
AW;AW-S18;System EDR/XDR (ochrona stacji i serwerów);Oprogramowanie;;;;;;Wykrywanie i reagowanie na stacjach/serwerach, szyfrowanie
AW;AW-S19;System kontroli dostępu do sieci (NAC);Oprogramowanie;;;;;;Kontrola dopuszczenia urządzeń do sieci
AW;AW-S20;System kopii zapasowych i odtwarzania (z odmiejscowieniem);Oprogramowanie;;;;;;Kopie 3-2-1, środowisko odtworzeniowe, kopie odmiejscowione
AW;AW-H06;Klaster serwerów AI (3 węzły);Sprzęt;;;;;;Lokalna moc obliczeniowa dla narzędzi AI
AW;AW-H07;Urządzenia / skanery do digitalizacji dokumentacji;Sprzęt;;;;;;"Skanowanie dokumentacji papierowej do EDM ; + oprogramowanie do masowego skanowania/digitalizacji dokumentacji"
AW;AW-H08;Biblioteka taśmowa (odmiejscowienie kopii);Sprzęt;;;;;;Kopie offline / odmiejscowione
AW;AW-O05;Usługa operacyjnego monitorowania bezpieczeństwa 24/7 (zewn.);Struktura organizacji;;;;;;Ciągły monitoring i obsługa alertów bezpieczeństwa (SOC)
AW;AW-O06;Operator centralny e-zdrowia (PUI / repozytorium centralne);Struktura organizacji;;;;;;Usługi AI diagnostyki obrazowej, centralne repozytorium
AW;AW-S21;Platforma podpisu elektronicznego/kwalifikowanego i zarządzania certyfikatami;Oprogramowanie;;;;;;"Składanie i weryfikacja podpisu/pieczęci kwalifikowanej dla EDM i dokumentów; zarządzanie certyfikatami użytkowników; znaczniki czasu."
AW;AW-S22;Repozytorium wieloźródłowe danych medycznych (VNA, DICOM/non-DICOM);Oprogramowanie;;;;;;Archiwizacja i udostępnianie danych z wielu modalności (obrazy, EKG, dane lab.) z jednego interfejsu.
AW;AW-S23;Indeks pacjenta (MPI - Master Patient Index);Oprogramowanie;;;;;;Łączenie rekordów pacjenta z różnych pracowni/systemów w jeden spójny identyfikator.
