Kod;Proces;Warstwa;Grupa;Tory (role);Wlasciciel;Komorka;Aktywa AI;Systemy;Dane medyczne;BPMN;PNG;PDF
Z1.11;Kontrola zarządcza (cele, ryzyka, mechanizmy kontrolne, oświadczenie roczne - ustawa o finansach publicznych);Zarządczy;Z1. Nadzór korporacyjny i strategia;Dyrektorzy pionów / Zarząd;Zarząd / Dyrektorzy pionów;Z, DFK;;;Nie;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.11__Kontrola-zarzadcza-cele-ryzyka-mechanizmy-kontroln.bpmn;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.11__Kontrola-zarzadcza-cele-ryzyka-mechanizmy-kontroln.png;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.11__Kontrola-zarzadcza-cele-ryzyka-mechanizmy-kontroln.pdf
Z2.01;Utrzymanie Zintegrowanego Systemu Zarządzania (ISO 9001/14001);Zarządczy;Z2. Systemy zgodności (ZSZ, SZBI, Akredytacja);Pełnomocnik systemu / Właściciele procesów / Zarząd;PZSZ;PZSZ;;;Nie;1_Zarzadczy_Z/Z2_Systemy-zgodnosci-ZSZ-SZBI-Akredytacja/Z2.01__Utrzymanie-Zintegrowanego-Systemu-Zarzadzania-ISO.bpmn;1_Zarzadczy_Z/Z2_Systemy-zgodnosci-ZSZ-SZBI-Akredytacja/Z2.01__Utrzymanie-Zintegrowanego-Systemu-Zarzadzania-ISO.png;1_Zarzadczy_Z/Z2_Systemy-zgodnosci-ZSZ-SZBI-Akredytacja/Z2.01__Utrzymanie-Zintegrowanego-Systemu-Zarzadzania-ISO.pdf
Z2.02;Planowanie i prowadzenie audytów wewnętrznych ZSZ;Zarządczy;Z2. Systemy zgodności (ZSZ, SZBI, Akredytacja);Audytorzy wewnętrzni / Audytowana komórka / Pełnomocnik systemu;PZSZ;PZSZ;;;Nie;1_Zarzadczy_Z/Z2_Systemy-zgodnosci-ZSZ-SZBI-Akredytacja/Z2.02__Planowanie-i-prowadzenie-audytow-wewnetrznych-ZSZ.bpmn;1_Zarzadczy_Z/Z2_Systemy-zgodnosci-ZSZ-SZBI-Akredytacja/Z2.02__Planowanie-i-prowadzenie-audytow-wewnetrznych-ZSZ.png;1_Zarzadczy_Z/Z2_Systemy-zgodnosci-ZSZ-SZBI-Akredytacja/Z2.02__Planowanie-i-prowadzenie-audytow-wewnetrznych-ZSZ.pdf
Z2.03;Przeglądy zarządzania ZSZ;Zarządczy;Z2. Systemy zgodności (ZSZ, SZBI, Akredytacja);Pełnomocnik systemu / Zarząd;PZSZ / Zarząd;PZSZ, Z;;;Nie;1_Zarzadczy_Z/Z2_Systemy-zgodnosci-ZSZ-SZBI-Akredytacja/Z2.03__Przeglady-zarzadzania-ZSZ.bpmn;1_Zarzadczy_Z/Z2_Systemy-zgodnosci-ZSZ-SZBI-Akredytacja/Z2.03__Przeglady-zarzadzania-ZSZ.png;1_Zarzadczy_Z/Z2_Systemy-zgodnosci-ZSZ-SZBI-Akredytacja/Z2.03__Przeglady-zarzadzania-ZSZ.pdf
Z2.04;Przygotowanie i utrzymanie akredytacji CMJ;Zarządczy;Z2. Systemy zgodności (ZSZ, SZBI, Akredytacja);Pełnomocnik ds. Akredytacji / Komórki kliniczne / Zarząd;PA;PA;;;Tak;1_Zarzadczy_Z/Z2_Systemy-zgodnosci-ZSZ-SZBI-Akredytacja/Z2.04__Przygotowanie-i-utrzymanie-akredytacji-CMJ.bpmn;1_Zarzadczy_Z/Z2_Systemy-zgodnosci-ZSZ-SZBI-Akredytacja/Z2.04__Przygotowanie-i-utrzymanie-akredytacji-CMJ.png;1_Zarzadczy_Z/Z2_Systemy-zgodnosci-ZSZ-SZBI-Akredytacja/Z2.04__Przygotowanie-i-utrzymanie-akredytacji-CMJ.pdf
Z2.05;Wdrażanie standardów akredytacyjnych w komórkach klinicznych;Zarządczy;Z2. Systemy zgodności (ZSZ, SZBI, Akredytacja);Pełnomocnik ds. Akredytacji / Komórki kliniczne / Zarząd;PA / DM;PA, DM;;;Tak;1_Zarzadczy_Z/Z2_Systemy-zgodnosci-ZSZ-SZBI-Akredytacja/Z2.05__Wdrazanie-standardow-akredytacyjnych-w-komorkach-k.bpmn;1_Zarzadczy_Z/Z2_Systemy-zgodnosci-ZSZ-SZBI-Akredytacja/Z2.05__Wdrazanie-standardow-akredytacyjnych-w-komorkach-k.png;1_Zarzadczy_Z/Z2_Systemy-zgodnosci-ZSZ-SZBI-Akredytacja/Z2.05__Wdrazanie-standardow-akredytacyjnych-w-komorkach-k.pdf
Z2.06;Zarządzanie SZBI (ISO 27001);Zarządczy;Z2. Systemy zgodności (ZSZ, SZBI, Akredytacja);Pełnomocnik ds. SZBI / Właściciele procesów / Zarząd;PBI;PBI;;;Nie;1_Zarzadczy_Z/Z2_Systemy-zgodnosci-ZSZ-SZBI-Akredytacja/Z2.06__Zarzadzanie-SZBI-ISO-27001.bpmn;1_Zarzadczy_Z/Z2_Systemy-zgodnosci-ZSZ-SZBI-Akredytacja/Z2.06__Zarzadzanie-SZBI-ISO-27001.png;1_Zarzadczy_Z/Z2_Systemy-zgodnosci-ZSZ-SZBI-Akredytacja/Z2.06__Zarzadzanie-SZBI-ISO-27001.pdf
Z2.07;Audyty wewnętrzne SZBI;Zarządczy;Z2. Systemy zgodności (ZSZ, SZBI, Akredytacja);Audytorzy wewnętrzni / Audytowana komórka / Pełnomocnik ds. SZBI;PBI;PBI;;;Nie;1_Zarzadczy_Z/Z2_Systemy-zgodnosci-ZSZ-SZBI-Akredytacja/Z2.07__Audyty-wewnetrzne-SZBI.bpmn;1_Zarzadczy_Z/Z2_Systemy-zgodnosci-ZSZ-SZBI-Akredytacja/Z2.07__Audyty-wewnetrzne-SZBI.png;1_Zarzadczy_Z/Z2_Systemy-zgodnosci-ZSZ-SZBI-Akredytacja/Z2.07__Audyty-wewnetrzne-SZBI.pdf
Z2.08;Autoryzacja NFZ (wewnętrzny system zarządzania jakością - ustawa o jakości w opiece zdrowotnej);Zarządczy;Z2. Systemy zgodności;Pełnomocnik ds. Jakości / Komórki kliniczne / Zarząd;Pełnomocnik ds. Jakości / DM;PZSZ, DM;;;Tak;1_Zarzadczy_Z/Z2_Systemy-zgodnosci-ZSZ-SZBI-Akredytacja/Z2.08__Autoryzacja-NFZ-wewnetrzny-system-zarzadzania-jako.bpmn;1_Zarzadczy_Z/Z2_Systemy-zgodnosci-ZSZ-SZBI-Akredytacja/Z2.08__Autoryzacja-NFZ-wewnetrzny-system-zarzadzania-jako.png;1_Zarzadczy_Z/Z2_Systemy-zgodnosci-ZSZ-SZBI-Akredytacja/Z2.08__Autoryzacja-NFZ-wewnetrzny-system-zarzadzania-jako.pdf
Z3.01;Identyfikacja i ocena ryzyk operacyjnych i strategicznych;Zarządczy;Z3. Zarządzanie ryzykiem i ciągłością działania;Komórki merytoryczne / Koordynator ryzyka / Zarząd;Zarząd / PZSZ;Z, PZSZ;;;Nie;1_Zarzadczy_Z/Z3_Zarzadzanie-ryzykiem-i-ciagloscia-dzialania/Z3.01__Identyfikacja-i-ocena-ryzyk-operacyjnych-i-strateg.bpmn;1_Zarzadczy_Z/Z3_Zarzadzanie-ryzykiem-i-ciagloscia-dzialania/Z3.01__Identyfikacja-i-ocena-ryzyk-operacyjnych-i-strateg.png;1_Zarzadczy_Z/Z3_Zarzadzanie-ryzykiem-i-ciagloscia-dzialania/Z3.01__Identyfikacja-i-ocena-ryzyk-operacyjnych-i-strateg.pdf
Z3.02;Analiza ryzyk bezpieczeństwa informacji (SZBI);Zarządczy;Z3. Zarządzanie ryzykiem i ciągłością działania;Właściciele ryzyka / Pełnomocnik ds. SZBI / Zarząd;PBI;PBI;;;Nie;1_Zarzadczy_Z/Z3_Zarzadzanie-ryzykiem-i-ciagloscia-dzialania/Z3.02__Analiza-ryzyk-bezpieczenstwa-informacji-SZBI.bpmn;1_Zarzadczy_Z/Z3_Zarzadzanie-ryzykiem-i-ciagloscia-dzialania/Z3.02__Analiza-ryzyk-bezpieczenstwa-informacji-SZBI.png;1_Zarzadczy_Z/Z3_Zarzadzanie-ryzykiem-i-ciagloscia-dzialania/Z3.02__Analiza-ryzyk-bezpieczenstwa-informacji-SZBI.pdf
Z3.03;Plan Ciągłości Działania (BCP) i Plan Odtwarzania (DRP);Zarządczy;Z3. Zarządzanie ryzykiem i ciągłością działania;Koordynator BC / Administratorzy IT / Zarząd;PBI / DI.DI / OBR;PBI, DI.DI, OBR;;;Nie;1_Zarzadczy_Z/Z3_Zarzadzanie-ryzykiem-i-ciagloscia-dzialania/Z3.03__Plan-Ciaglosci-Dzialania-BCP-i-Plan-Odtwarzania-DR.bpmn;1_Zarzadczy_Z/Z3_Zarzadzanie-ryzykiem-i-ciagloscia-dzialania/Z3.03__Plan-Ciaglosci-Dzialania-BCP-i-Plan-Odtwarzania-DR.png;1_Zarzadczy_Z/Z3_Zarzadzanie-ryzykiem-i-ciagloscia-dzialania/Z3.03__Plan-Ciaglosci-Dzialania-BCP-i-Plan-Odtwarzania-DR.pdf
Z3.04;Zarządzanie incydentami i kryzysami (operacyjnie);Zarządczy;Z3. Zarządzanie ryzykiem i ciągłością działania;Zespół reagowania / Zarząd / Komórki merytoryczne;Zarząd / OBR;Z, OBR;;;Nie;1_Zarzadczy_Z/Z3_Zarzadzanie-ryzykiem-i-ciagloscia-dzialania/Z3.04__Zarzadzanie-incydentami-i-kryzysami-operacyjnie.bpmn;1_Zarzadczy_Z/Z3_Zarzadzanie-ryzykiem-i-ciagloscia-dzialania/Z3.04__Zarzadzanie-incydentami-i-kryzysami-operacyjnie.png;1_Zarzadczy_Z/Z3_Zarzadzanie-ryzykiem-i-ciagloscia-dzialania/Z3.04__Zarzadzanie-incydentami-i-kryzysami-operacyjnie.pdf
Z3.05;Bezpieczeństwo pacjenta - rejestr zdarzeń niepożądanych i system no-fault (ustawa o jakości w opiece zdrowotnej);Zarządczy;Z3. Zarządzanie ryzykiem i ciągłością działania;Personel zgłaszający / Pełnomocnik ds. Jakości / Zespół ds. bezpieczeństwa;Pełnomocnik ds. Jakości / Zespół ds. bezpieczeństwa pacjenta;PZSZ, PA, DM;;;Tak;1_Zarzadczy_Z/Z3_Zarzadzanie-ryzykiem-i-ciagloscia-dzialania/Z3.05__Bezpieczenstwo-pacjenta-rejestr-zdarzen-niepozadan.bpmn;1_Zarzadczy_Z/Z3_Zarzadzanie-ryzykiem-i-ciagloscia-dzialania/Z3.05__Bezpieczenstwo-pacjenta-rejestr-zdarzen-niepozadan.png;1_Zarzadczy_Z/Z3_Zarzadzanie-ryzykiem-i-ciagloscia-dzialania/Z3.05__Bezpieczenstwo-pacjenta-rejestr-zdarzen-niepozadan.pdf
Z4.01;Nadzór nad przetwarzaniem danych osobowych (RODO);Zarządczy;Z4. Zgodność regulacyjna;IOD / Komórki przetwarzające / Zarząd;IOD;IOD;;;Tak;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.01__Nadzor-nad-przetwarzaniem-danych-osobowych-RODO.bpmn;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.01__Nadzor-nad-przetwarzaniem-danych-osobowych-RODO.png;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.01__Nadzor-nad-przetwarzaniem-danych-osobowych-RODO.pdf
Z4.02;Realizacja praw osób, których dane dotyczą;Zarządczy;Z4. Zgodność regulacyjna;Wnioskodawca / Sekcja Dokumentacji Medycznej / IOD;IOD / DM.SDM;IOD, DM.SDM;;;Tak;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.02__Realizacja-praw-osob-ktorych-dane-dotycza.bpmn;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.02__Realizacja-praw-osob-ktorych-dane-dotycza.png;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.02__Realizacja-praw-osob-ktorych-dane-dotycza.pdf
Z4.03;Ocena skutków dla ochrony danych (DPIA);Zarządczy;Z4. Zgodność regulacyjna;Komórka przetwarzająca / IOD / Zarząd;IOD;IOD;;;Tak;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.03__Ocena-skutkow-dla-ochrony-danych-DPIA.bpmn;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.03__Ocena-skutkow-dla-ochrony-danych-DPIA.png;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.03__Ocena-skutkow-dla-ochrony-danych-DPIA.pdf
Z4.04;Obsługa naruszeń ochrony danych (notyfikacja UODO);Zarządczy;Z4. Zgodność regulacyjna;Zgłaszający / IOD / Zarząd;IOD;IOD;;;Tak;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.04__Obsluga-naruszen-ochrony-danych-notyfikacja-UODO.bpmn;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.04__Obsluga-naruszen-ochrony-danych-notyfikacja-UODO.png;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.04__Obsluga-naruszen-ochrony-danych-notyfikacja-UODO.pdf
Z4.05;Zarządzanie zgodnością KSC (operator usługi kluczowej);Zarządczy;Z4. Zgodność regulacyjna;Pełnomocnik ds. SZBI / Administratorzy IT / Organ KSC (CSIRT);PBI / DI.DI;PBI, DI.DI;;;Nie;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.05__Zarzadzanie-zgodnoscia-KSC-operator-uslugi-kluczow.bpmn;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.05__Zarzadzanie-zgodnoscia-KSC-operator-uslugi-kluczow.png;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.05__Zarzadzanie-zgodnoscia-KSC-operator-uslugi-kluczow.pdf
Z4.06;Ochrona informacji niejawnych;Zarządczy;Z4. Zgodność regulacyjna;Pełnomocnik ds. OIN / Komórki organizacyjne;PIN;PIN;;;Nie;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.06__Ochrona-informacji-niejawnych.bpmn;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.06__Ochrona-informacji-niejawnych.png;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.06__Ochrona-informacji-niejawnych.pdf
Z4.07;Zarządzanie prawami pacjenta i obsługa skarg;Zarządczy;Z4. Zgodność regulacyjna;Pacjent / Skarżący / Pełnomocnik ds. Praw Pacjenta / Komórka merytoryczna;PPP;PPP;;;Tak;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.07__Zarzadzanie-prawami-pacjenta-i-obsluga-skarg.bpmn;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.07__Zarzadzanie-prawami-pacjenta-i-obsluga-skarg.png;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.07__Zarzadzanie-prawami-pacjenta-i-obsluga-skarg.pdf
Z4.08;Zapewnianie dostępności osobom ze szczególnymi potrzebami;Zarządczy;Z4. Zgodność regulacyjna;Pełnomocnik ds. Dostępności / Komórki organizacyjne / Zarząd;PD;PD;;;Nie;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.08__Zapewnianie-dostepnosci-osobom-ze-szczegolnymi-pot.bpmn;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.08__Zapewnianie-dostepnosci-osobom-ze-szczegolnymi-pot.png;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.08__Zapewnianie-dostepnosci-osobom-ze-szczegolnymi-pot.pdf
Z4.09;Doradztwo prawne i reprezentacja w postępowaniach;Zarządczy;Z4. Zgodność regulacyjna;Komórka wnioskująca / Radca prawny;RP;RP;;;Nie;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.09__Doradztwo-prawne-i-reprezentacja-w-postepowaniach.bpmn;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.09__Doradztwo-prawne-i-reprezentacja-w-postepowaniach.png;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.09__Doradztwo-prawne-i-reprezentacja-w-postepowaniach.pdf
Z4.10;Obsługa zdarzeń medycznych i Funduszu Kompensacyjnego (FKZM) - współpraca z RPP, rejestr zaleceń i wdrożeń;Zarządczy;Z4. Zgodność regulacyjna;Pacjent / RPP / Pełnomocnik ds. Praw Pacjenta / Komórki kliniczne;Pełnomocnik ds. Praw Pacjenta / Radca prawny / DM;RP, DM;;;Tak;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.10__Obsluga-zdarzen-medycznych-i-Funduszu-Kompensacyjn.bpmn;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.10__Obsluga-zdarzen-medycznych-i-Funduszu-Kompensacyjn.png;1_Zarzadczy_Z/Z4_Zgodnosc-regulacyjna/Z4.10__Obsluga-zdarzen-medycznych-i-Funduszu-Kompensacyjn.pdf
Z5.01;Opracowywanie i nadzór nad regulaminem organizacyjnym;Zarządczy;Z5. Polityki, regulaminy i zarządzanie zmianą;Komórka inicjująca / Dział Organizacyjno-Prawny / Zarząd;Zarząd / K.DOP;Z, K.DOP;;;Nie;1_Zarzadczy_Z/Z5_Polityki-regulaminy-i-zarzadzanie-zmiana/Z5.01__Opracowywanie-i-nadzor-nad-regulaminem-organizacyj.bpmn;1_Zarzadczy_Z/Z5_Polityki-regulaminy-i-zarzadzanie-zmiana/Z5.01__Opracowywanie-i-nadzor-nad-regulaminem-organizacyj.png;1_Zarzadczy_Z/Z5_Polityki-regulaminy-i-zarzadzanie-zmiana/Z5.01__Opracowywanie-i-nadzor-nad-regulaminem-organizacyj.pdf
Z5.02;Opracowywanie i nadzór nad zarządzeniami i procedurami wewnętrznymi;Zarządczy;Z5. Polityki, regulaminy i zarządzanie zmianą;Komórka inicjująca / Dział Organizacyjno-Prawny / Zarząd;K.DOP / PZSZ;K.DOP, PZSZ;;;Nie;1_Zarzadczy_Z/Z5_Polityki-regulaminy-i-zarzadzanie-zmiana/Z5.02__Opracowywanie-i-nadzor-nad-zarzadzeniami-i-procedu.bpmn;1_Zarzadczy_Z/Z5_Polityki-regulaminy-i-zarzadzanie-zmiana/Z5.02__Opracowywanie-i-nadzor-nad-zarzadzeniami-i-procedu.png;1_Zarzadczy_Z/Z5_Polityki-regulaminy-i-zarzadzanie-zmiana/Z5.02__Opracowywanie-i-nadzor-nad-zarzadzeniami-i-procedu.pdf
Z5.03;Zarządzanie zmianą organizacyjną (struktura, etaty, lokalizacje);Zarządczy;Z5. Polityki, regulaminy i zarządzanie zmianą;Zarząd / Dział Personalno-Płacowy / Rada Nadzorcza;Zarząd;Z;;;Nie;1_Zarzadczy_Z/Z5_Polityki-regulaminy-i-zarzadzanie-zmiana/Z5.03__Zarzadzanie-zmiana-organizacyjna-struktura-etaty-l.bpmn;1_Zarzadczy_Z/Z5_Polityki-regulaminy-i-zarzadzanie-zmiana/Z5.03__Zarzadzanie-zmiana-organizacyjna-struktura-etaty-l.png;1_Zarzadczy_Z/Z5_Polityki-regulaminy-i-zarzadzanie-zmiana/Z5.03__Zarzadzanie-zmiana-organizacyjna-struktura-etaty-l.pdf
Z5.04;Zarządzanie wiedzą organizacyjną i wnioski z doświadczeń (baza wiedzy, przekazywanie kompetencji, nauka z incydentów);Zarządczy;Z5. Polityki, regulaminy i zarządzanie zmianą organizacyjną;Pracownicy / Eksperci / Pełnomocnik ds. Jakości;Pełnomocnik ds. Jakości / DI (Dział Informatyki);PZSZ, DI;;;Nie;1_Zarzadczy_Z/Z5_Polityki-regulaminy-i-zarzadzanie-zmiana/Z5.04__Zarzadzanie-wiedza-organizacyjna-i-wnioski-z-doswi.bpmn;1_Zarzadczy_Z/Z5_Polityki-regulaminy-i-zarzadzanie-zmiana/Z5.04__Zarzadzanie-wiedza-organizacyjna-i-wnioski-z-doswi.png;1_Zarzadczy_Z/Z5_Polityki-regulaminy-i-zarzadzanie-zmiana/Z5.04__Zarzadzanie-wiedza-organizacyjna-i-wnioski-z-doswi.pdf
Z6.01;Negocjacje i zawieranie umów z NFZ;Zarządczy;Z6. Kontrakt NFZ i relacje zewnętrzne;Dział Rozliczeń Świadczeń / Zarząd / NFZ (zewn.);Zarząd / DM.DRZ;Z, DM.DRZ;;;Nie;1_Zarzadczy_Z/Z6_Kontrakt-NFZ-i-relacje-zewnetrzne/Z6.01__Negocjacje-i-zawieranie-umow-z-NFZ.bpmn;1_Zarzadczy_Z/Z6_Kontrakt-NFZ-i-relacje-zewnetrzne/Z6.01__Negocjacje-i-zawieranie-umow-z-NFZ.png;1_Zarzadczy_Z/Z6_Kontrakt-NFZ-i-relacje-zewnetrzne/Z6.01__Negocjacje-i-zawieranie-umow-z-NFZ.pdf
